# Time (s), Z (m), Mach Number, Angle of Attack (°)
15.984890,3973.511603,0.361340,0.031322
16.079792,3984.276838,0.358141,0.032367
16.174694,3994.936761,0.354954,0.035740
16.269596,4005.491724,0.351779,0.041396
16.364498,4015.942078,0.348616,0.047680
16.459400,4026.288162,0.345466,0.052812
16.554302,4036.530313,0.342327,0.055743
16.649204,4046.668854,0.339200,0.056295
16.744105,4056.704104,0.336085,0.055009
16.839007,4066.636372,0.332981,0.052847
16.945360,4077.645050,0.329517,0.050589
17.051713,4088.525193,0.326067,0.049389
17.158065,4099.277213,0.322632,0.049490
17.264418,4109.901519,0.319211,0.050795
17.370770,4120.398516,0.315804,0.053280
17.505757,4133.538991,0.311500,0.058189
17.640744,4146.475836,0.307220,0.064760
17.775731,4159.209850,0.302961,0.071875
17.910717,4171.741815,0.298726,0.078099
18.045704,4184.072492,0.294512,0.082511
18.180691,4196.202621,0.290321,0.085085
18.315678,4208.132919,0.286153,0.086540
18.450664,4219.864083,0.282007,0.087884
18.585651,4231.396796,0.277883,0.089988
18.720638,4242.731724,0.273781,0.093376
18.855624,4253.869523,0.269702,0.098270
18.990611,4264.810839,0.265646,0.104678
19.125598,4275.556308,0.261612,0.112424
19.260585,4286.106552,0.257601,0.121157
19.395571,4296.462184,0.253613,0.130416
19.530558,4306.623802,0.249648,0.139756
19.665545,4316.591990,0.245707,0.148877
19.824678,4328.095636,0.241090,0.159221
19.983811,4339.332157,0.236508,0.169321
20.142944,4350.302433,0.231959,0.179664
20.302078,4361.007317,0.227444,0.190899
20.461211,4371.447642,0.222966,0.203571
20.663479,4384.337401,0.217325,0.222447
20.828593,4394.544613,0.212765,0.240507
20.993706,4404.469811,0.208246,0.261121
21.158819,4414.113831,0.203770,0.284326
21.323932,4423.477489,0.199339,0.310080
21.489045,4432.561575,0.194956,0.337491
21.654158,4441.366859,0.190621,0.367570
21.819271,4449.894088,0.186335,0.400390
21.984384,4458.143988,0.182100,0.435908
22.121192,4464.770026,0.178632,0.467419
22.258000,4471.206546,0.175201,0.501159
22.394808,4477.453933,0.171811,0.537485
22.531615,4483.512560,0.168462,0.576750
22.668423,4489.382794,0.165156,0.619275
22.805231,4495.064993,0.161896,0.665331
22.942039,4500.559510,0.158683,0.715152
23.160088,4508.929761,0.153665,0.803677
23.333936,4515.263216,0.149762,0.881856
23.507785,4521.295686,0.145951,0.967273
23.681634,4527.027822,0.142239,1.060367
23.855482,4532.460260,0.138631,1.161490
24.067257,4538.673833,0.134389,1.295283
24.279033,4544.444692,0.130327,1.440163
24.490808,4549.773889,0.126461,1.596289
24.702583,4554.662442,0.122807,1.762708
24.914359,4559.111336,0.119382,1.936939
25.126134,4563.121517,0.116204,2.115111
25.337910,4566.693888,0.113293,2.291953
25.549685,4569.829299,0.110666,2.460572
25.799058,4572.962226,0.107966,2.636653
26.048432,4575.491537,0.105716,2.771644
26.297805,4577.418240,0.103945,2.844712
26.547178,4578.743137,0.102674,2.833704
26.796552,4579.466783,0.101921,2.718084
26.972132,4579.615748,0.101706,2.564356
26.980952,4579.615373,0.101702,2.554977
